2026-04-07 17:32:43 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=8.9, vvm=0.320789, potency=67.9%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:32:43 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=8.9, vvm=0.320789, potency=67.9%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:32:45 | INFO     | vaccine_monitor.websocket | WebSocket client connected. Total connections: 1
2026-04-07 17:32:45 | INFO     | vaccine_monitor.websocket | WebSocket client connected. Total connections: 1
2026-04-07 17:32:46 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=15.8, vvm=0.337652, potency=66.2%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:32:46 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=15.8, vvm=0.337652, potency=66.2%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:32:49 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=9.2, vvm=0.357149, potency=64.3%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:32:49 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=9.2, vvm=0.357149, potency=64.3%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:32:52 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=9.6, vvm=0.376646, potency=62.3%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:32:52 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=9.6, vvm=0.376646, potency=62.3%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:32:55 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=15.6, vvm=0.393819, potency=60.6%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:32:55 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=15.6, vvm=0.393819, potency=60.6%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:32:58 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=13.0, vvm=0.411651, potency=58.8%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:32:58 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=13.0, vvm=0.411651, potency=58.8%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:01 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=10.0, vvm=0.430286, potency=57.0%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:01 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=10.0, vvm=0.430286, potency=57.0%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:04 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=10.9, vvm=0.448800, potency=55.1%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:04 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=10.9, vvm=0.448800, potency=55.1%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:08 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=18.5, vvm=0.465641, potency=53.4%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:08 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=18.5, vvm=0.465641, potency=53.4%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:11 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=15.1, vvm=0.483335, potency=51.7%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:11 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=15.1, vvm=0.483335, potency=51.7%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:14 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=16.5, vvm=0.500778, potency=49.9%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:14 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=16.5, vvm=0.500778, potency=49.9%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:17 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=18.2, vvm=0.517928, potency=48.2%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:17 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=18.2, vvm=0.517928, potency=48.2%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:20 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=15.8, vvm=0.535691, potency=46.4%, exposure=0min, anomaly=False, eta=None
